foreign_direct_investment,gross_savings,unemployment,labor_force,mortality_rate,new_businesses_registered,education_expenditure,age_dependency_ratio,food_production_index,human_capital_index,imports,exports,life_expectancy_birth,manufacturing,tobacco_use,profit_tax,population,literacy_rate,birth_rate,death_rate,migration,agriculture_forestry_fishing,industry,gdp_per_capita
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,109.74,0.5933026911601942,754000000.0,641000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,57492.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,9792.666805816461
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,113.47,0.5933026911601942,556000000.0,530000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,56683.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,11961.258225570276
173957253.84148705,84624380688.20026,9.199999809,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,114.51,0.5933026911601942,537000000.0,364000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,56079.0,78.92272071229543,18.7,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,10271.224522548548
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,114.3,0.5933026911601942,559000000.0,335000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,55759.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,10294.302265105185
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,110.24,0.5933026911601942,643000000.0,482000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,55667.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,11568.793001239514
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,117.57,0.5933026911601942,641000000.0,457000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,55713.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,11505.393714213918
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,116.62,0.5933026911601942,679000000.0,426000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,55791.0,78.92272071229543,17.5,4.2,-440402.0183585313,83854094182.83238,508854070572.82556,11507.232349303651
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,46.91102953521313,28735.5,11644062258.340067,63.15976395706669,120.15,0.5933026911601942,658000000.0,427000000.0,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,55812.0,78.92272071229543,22.924219424933664,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,11843.33118325808
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,9.4,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,64360.0,78.92272071229543,10.9,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,19017.174596022374
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,8.9,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,64327.0,78.92272071229543,11.2,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,18353.059726087024
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,8.5,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,64142.0,78.92272071229543,11.9,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,18894.52149917371
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,8.1,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,64370.0,78.92272071229543,12.6,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,19261.710501786547
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,7.7,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,65390.0,78.92272071229543,11.3,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,21854.2467961462
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,7.3,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,67341.0,78.92272071229543,11.8,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,22971.535528132936
173957253.84148705,84624380688.20026,8.438023217966517,137220040.57786158,6.9,28735.5,11644062258.340067,63.15976395706669,102.31954991341837,0.5933026911601942,492172294724.7273,505633735824.7585,68.6721891574229,298976366901.0519,25.092806868705416,16.66987033657947,70049.0,78.92272071229543,11.2,8.591880388359316,-440402.0183585313,83854094182.83238,508854070572.82556,25066.882211023712
